"","LoC_classifications","title","downloads","author_birthdate","author_deathdate","author_name","pub_day","pub_date_full","pub_month","pub_month_name","pub_year","difficulty.ari","difficulty.coleman","difficulty.dale","difficulty.vocabulary","difficulty.flesch.grade","difficulty.flesch.ease","difficulty.gunning","difficulty.linsear","difficulty.smog","polarity","subjectivity","avg_letter_per_word","avg_sentence_length","sentences_over_words","characters","polysyllables","sentences","syllables","words"
"561","DC","Memoirs of Napoleon Bonaparte — Complete",688,1769,1834,"Bourrienne, Louis Antoine Fauvelet de",3,"September 3, 2006",9,"September",2006,13.5,12.07,5.67,29300,10.7,57.61,10.8,5,8.8,0.104156937304143,0.47444771092204,5.01,22,0.04,2454011,22188,21668,727113.6,489658
"562","D","The Influence of Sea Power Upon History, 1660-1783",687,1840,1914,"Mahan, A. T. (Alfred Thayer)",26,"September 26, 2004",9,"September",2004,17.6,12.89,6.15,14364,13.4,50.5,13.6,5.5,8.8,0.0962060019546976,0.401039607232167,5.1,29,0.03,1076282,8739,7045,307634.4,211227
"563","PR","The Wendigo",686,1869,1951,"Blackwood, Algernon",31,"January 31, 2004",1,"January",2004,12.3,11.6,7.06,2826,8.7,68.1,10,14,3.1,0.0352877921164238,0.513207315084814,4.98,20,0.05,91490,558,892,25988.4,18383
"564","","Swenson, Dispatcher",686,1910,1958,"Miller, R. DeWitt",29,"February 29, 2016",2,"February",2016,8.3,11.63,6.91,1351,4.8,78.25,6,5,3.1,0.0825221382080846,0.42540750358628,5.24,10,0.1,40224,252,759,10917.9,7673
"565","","A Dog Day: or The Angel in the House",685,0,0,"Emanuel, Walter",26,"February 26, 2016",2,"February",2016,8.8,12.21,7.07,341,3.7,86.71,6,4,3.1,0.0991571938162848,0.509646616010253,5.34,10,0.1,9778,66,180,2414.7,1830
"566","PA","In Praise of Folly: Illustrated with Many Curious Cuts",684,1469,1536,"Erasmus, Desiderius",6,"October 6, 2009",10,"October",2009,26.3,11.85,8.4,6630,20,38.66,21.6,11,8.8,0.144248911954956,0.509697249041102,4.87,49,0.02,218530,1621,906,64078.2,44850
"567","PZ,PR","Cautionary Tales for Children",681,1870,1953,"Belloc, Hilaire",5,"December 5, 2008",12,"December",2008,13.3,14.73,7.62,541,7.2,72.16,8.4,8.5,3.1,-0.0140036152697611,0.563820378387045,5.57,16,0.06,14885,129,158,3732.3,2674
"568","TX","Cookery and Dining in Imperial Rome",681,0,0,"Apicius",19,"August 19, 2009",8,"August",2009,12.9,13.92,6.93,16425,7.6,71.14,8.8,7,3.1,0.0862586887709633,0.465614196239446,5.43,17,0.06,573945,4909,6028,152045.1,105698
"569","PN","Famous Modern Ghost Stories",680,0,0,"Unknown",22,"February 22, 2005",2,"February",2005,9.3,10.09,6.18,10505,7.2,72.16,8.4,7.5,3.1,0.050303762351462,0.489151321300498,4.77,16,0.06,451838,2254,5719,128006.1,94666
"570","TX","The Book of Household Management",679,1836,1865,"Beeton, Mrs. (Isabella Mary)",19,"November 19, 2003",11,"November",2003,12.4,11.66,5.52,29035,8.7,68.1,10,7.5,3.1,0.0903504468786571,0.479277164586766,4.99,20,0.05,2569503,16590,25007,704001.6,514564
